@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}
@attribute crosscheck.base.a numeric
@attribute crosscheck.target.a numeric
@attribute crosscheck.SDR numeric
@attribute crosscheck.disp numeric
@attribute crosscheck.area numeric
@attribute crosscheck.LDTD numeric
@attribute baseLeft numeric
@attribute targetLeft numeric
@attribute baseRight numeric
@attribute targetRight numeric
@attribute baseParentLeft numeric
@attribute targetParentLeft numeric
@attribute baseParentRight numeric
@attribute targetParentRight numeric
@attribute diff.viewport numeric
@attribute size numeric
@attribute diff.left.relation numeric
@attribute diff.right.relation numeric
@attribute diff.parent.left.relation numeric
@attribute diff.parent.right.relation numeric
@attribute diff.left.viewport numeric
@attribute diff.right.viewport numeric
@attribute alignment numeric
@attribute diff.parent.left.viewport numeric
@attribute diff.parent.right.viewport numeric
@attribute parent.alignment numeric
@attribute diff.parent.y numeric
@attribute diff.parent.y.height numeric
@attribute diff.height.height numeric
@attribute diff.width.viewport numeric
@attribute imageDiff.size numeric
@attribute chiSquared.size numeric
@attribute imageDiff.size.viewport numeric
@attribute chiSquared.size.viewport numeric
@attribute pHashDistance.viewport numeric

@data
http://wwatana.be/mobile/mobile/201801/3/,34,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/34.png,results/iphone8plus/34.png,48,47,1231,1548,76,60,264,318,48,47,1111,1428,2248788,5551.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],0.6,1,20064,19080,0.051572,317.001577,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,5.981132,4.171053,0.210526,1.018868,112.080742,0.276695,2.114731,0.005221,0.011321
http://wwatana.be/mobile/mobile/201801/3/,30,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/30.png,results/iphone8plus/30.png,48,47,1004,1337,76,60,264,318,48,47,884,1217,2218283,16119.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],0.6,1,20064,19080,0.051572,333.001501,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,6.283019,4.381579,0.210526,1.018868,110.560357,0.803409,2.086044,0.015159,0.011321
http://wwatana.be/mobile/mobile/201801/3/,26,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/26.png,results/iphone8plus/26.png,48,47,778,1126,76,60,264,318,48,47,657,1006,2199878,9640.5,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],0.5,1,20064,19080,0.051572,348.001437,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,6.584906,4.592105,0.210526,1.018868,109.643042,0.480487,2.068737,0.009066,0.009434
http://wwatana.be/mobile/mobile/201801/3/,19,IMG,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/19.png,results/iphone8plus/19.png,18,20,435,411,96,469,324,372,8,8,80,80,1358598,954666.8,1080,1242,361,414,/body[2]/img[5],/body[2]/img[5],/body[2]/img[5],0.9,1,31104,174468,4.609182,24.083189,31104,1,18,20,19,22,8,8,29,34,53,174468,0.001552,-0.000509,0.002837,-0.001793,0.037736,0.056604,-0.018868,0,0.09434,-0.018868,0,0,3.885417,0.90566,43.679205,30.692734,0.824136,0.579108,0.016981
http://wwatana.be/mobile/mobile/201801/3/,13,P,0,78,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/13.png,results/iphone8plus/13.png,8,8,210,210,75,52,344,398,8,8,80,80,2340225,5618,1080,1242,361,414,/body[2]/p[3],/body[2]/p[3],/body[2]/p[3],0.5,1,25800,20696,0.246618,0,20696,1,8,8,9,8,8,8,9,8,53,25800,0.002837,0.005607,0.002837,0.005607,0,0.018868,-0.018868,0,0.018868,-0.018868,0,0,0.306667,1.018868,90.706395,0.217752,1.711441,0.004109,0.009434
http://wwatana.be/mobile/mobile/201801/3/,12,H2,0,29,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/12.png,results/iphone8plus/12.png,8,8,80,80,100,100,344,398,8,8,80,80,3949508,5377.2,1080,1242,361,414,/body[2]/h2[2],/body[2]/h2[2],/body[2]/h2[2],1,1,34400,39800,0.156977,0,34400,1,8,8,9,8,8,8,9,8,53,39800,0.002837,0.005607,0.002837,0.005607,0,0.018868,-0.018868,0,0.018868,-0.018868,0,0,0,1.018868,114.811279,0.156314,2.166251,0.002949,0.018868
http://wwatana.be/mobile/mobile/201801/3/,34,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/34.png,results/iphonese/34.png,48,49,1231,1619,76,100,264,224,48,49,1111,1499,2067878,17634.2,1080,640,361,320,/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],0.5,1,20064,22400,0.116427,388.001289,20064,1,48,49,49,47,48,49,49,47,-41,22400,-0.020161,-0.011141,-0.020161,-0.011141,-0.02439,-0.04878,0.02439,-0.02439,-0.04878,0.02439,-9.463415,5.105263,0.315789,-0.97561,103.064095,0.878898,-2.513758,-0.021437,-0.012195
http://wwatana.be/mobile/mobile/201801/3/,30,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/30.png,results/iphonese/30.png,48,49,1004,1368,76,100,264,224,48,49,884,1248,2004735,17098.5,1080,640,361,320,/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],0.5,1,20064,22400,0.116427,364.001374,20064,1,48,49,49,47,48,49,49,47,-41,22400,-0.020161,-0.011141,-0.020161,-0.011141,-0.02439,-0.04878,0.02439,-0.02439,-0.04878,0.02439,-8.878049,4.789474,0.315789,-0.97561,99.917016,0.852198,-2.437,-0.020785,-0.012195
http://wwatana.be/mobile/mobile/201801/3/,26,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/26.png,results/iphonese/26.png,48,49,778,1117,76,100,264,224,48,49,657,997,2016593,18795.3,1080,640,361,320,/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],0.4,1,20064,22400,0.116427,339.001475,20064,1,48,49,49,47,48,49,49,47,-41,22400,-0.020161,-0.011141,-0.020161,-0.011141,-0.02439,-0.04878,0.02439,-0.02439,-0.04878,0.02439,-8.292683,4.473684,0.315789,-0.97561,100.508024,0.936767,-2.451415,-0.022848,-0.009756
http://wwatana.be/mobile/mobile/201801/3/,19,IMG,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/19.png,results/iphonese/19.png,18,16,435,487,96,384,324,288,8,8,80,80,1388931,313851.1,1080,640,361,320,/body[2]/img[5],/body[2]/img[5],/body[2]/img[5],0.8,1,31104,110592,2.555556,52.038447,31104,1,18,16,19,16,8,8,29,24,-41,110592,-0.000139,0.002632,-0.002839,0.005332,-0.04878,-0.073171,0.02439,-0,-0.121951,0.02439,-0,0,3,-0.878049,44.654417,10.090377,-1.089132,-0.246107,-0.019512
