% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% 23 websites
% only websites which implemented the correct viewport
% - 1916 elements filtering elements out of viewport?
% - analysing the image comparison only on leaf nodes
% - 392 mapped incompatibilities (192 in iPhone 8 Plus and 200 in iPhoneSE)
%
% Websites:
%  - http://wwatana.be/mobile/mobile/201801/1/, with 38 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/2/, with 26 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/3/, with 45 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/4/, with 49 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/5/, with 38 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/6/, with 33 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/9/, with 38 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/11/, with 56 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/12/, with 41 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/01/1.html, with 95 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/04/1.html, with 111 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/09/1.html, with 54 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/13/1.html, with 91 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/15/1.html, with 75 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/16/1.html, with 65 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/17/1.html, with 85 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201701/01/1.html, with 228 elements and 12 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201701/18/1.html, with 62 elements and 7 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201702/01/index.html, with 55 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201702/15/index.html, with 116 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/1/, with 64 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/2/, with 70 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/3/, with 289 elements and 13 depth DOM tree
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}

@data
http://wwatana.be/mobile/mobile/201801/3/,34,P,0,114,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/34.png,results/iphone8plus/34.png,48,47,1231,1548,76,60,264,318,48,47,1111,1428,2248788.0,5551.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],0.6,1
http://wwatana.be/mobile/mobile/201801/3/,33,I,0,0,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/33.png,results/iphone8plus/33.png,83,105,1118,1436,30,30,13,12,48,47,1111,1428,11631.0,69.8,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],0.6,0
http://wwatana.be/mobile/mobile/201801/3/,32,H3,1,55,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,1111,1428,90,90,264,318,48,47,1111,1428,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,31,DIV,3,229,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,1111,1428,196,180,264,318,0,0,657,1006,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3],/body[2]/section[6]/div[1]/div[1]/div[3],/body[2]/section[6]/div[1]/div[1]/div[3],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,30,P,0,114,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/30.png,results/iphone8plus/30.png,48,47,1004,1337,76,60,264,318,48,47,884,1217,2218283.0,16119.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],0.6,1
http://wwatana.be/mobile/mobile/201801/3/,29,I,0,0,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/29.png,results/iphone8plus/29.png,75,97,891,1225,30,30,34,34,48,47,884,1217,68351.0,209.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],1.0,0
http://wwatana.be/mobile/mobile/201801/3/,28,H3,1,48,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,884,1217,90,90,264,318,48,47,884,1217,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,27,DIV,3,222,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,884,1217,196,180,264,318,0,0,657,1006,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2],/body[2]/section[6]/div[1]/div[1]/div[2],/body[2]/section[6]/div[1]/div[1]/div[2],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,26,P,0,114,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/26.png,results/iphone8plus/26.png,48,47,778,1126,76,60,264,318,48,47,657,1006,2199878.0,9640.5,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],0.5,1
http://wwatana.be/mobile/mobile/201801/3/,25,I,0,0,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/25.png,results/iphone8plus/25.png,62,85,664,1014,30,30,32,32,48,47,657,1006,22513.0,120.8,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],0.6,0
