% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% 23 websites
% only websites which implemented the correct viewport
% - 1916 elements filtering elements out of viewport?
% - analysing the image comparison only on leaf nodes
% - 392 mapped incompatibilities (192 in iPhone 8 Plus and 200 in iPhoneSE)
%
% Websites:
%  - http://wwatana.be/mobile/mobile/201801/1/, with 38 elements and 8 depth DOM tree, with 5 XBIs for iPhoneSE and 4 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/2/, with 26 elements and 8 depth DOM tree, with 4 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/3/, with 45 elements and 9 depth DOM tree, with 5 XBIs for iPhoneSE and 6 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/4/, with 49 elements and 8 depth DOM tree, with 5 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/5/, with 38 elements and 9 depth DOM tree, with 13 XBIs for iPhoneSE and 13 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/6/, with 33 elements and 8 depth DOM tree, with 3 XBIs for iPhoneSE and 3 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/9/, with 38 elements and 8 depth DOM tree, with 6 XBIs for iPhoneSE and 6 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/11/, with 56 elements and 10 depth DOM tree, with 5 XBIs for iPhoneSE and 6 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201801/12/, with 41 elements and 11 depth DOM tree, with 3 XBIs for iPhoneSE and 3 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/01/1.html, with 95 elements and 11 depth DOM tree, with 34 XBIS for iPhoneSE and 48 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/04/1.html, with 111 elements and 9 depth DOM tree, with 5 XBIs for iPhoneSE and 9 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/09/1.html, with 54 elements and 8 depth DOM tree, with 13 XBIs for iPhoneSE and 3 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/13/1.html, with 91 elements and 11 depth DOM tree, with 3 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/15/1.html, with 75 elements and 10 depth DOM tree, with 8 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/16/1.html, with 65 elements and 8 depth DOM tree, with 15 XBIs for iPhoneSE and 14 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201602/17/1.html, with 85 elements and 10 depth DOM tree, with 0 XBIs for iPhoneSE and 2 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201701/01/1.html, with 228 elements and 12 depth DOM tree, with 23 XBIs for iPhoneSE and 16 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201701/18/1.html, with 62 elements and 7 depth DOM tree, with 5 XBIs for iPhoneSE and 9 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201702/01/index.html, with 55 elements and 9 depth DOM tree, with 12 XBIs for iPhoneSE and 7 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201702/15/index.html, with 116 elements and 10 depth DOM tree, with 5 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201802/1/, with 64 elements and 10 depth DOM tree, with 7 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201802/2/, with 70 elements and 9 depth DOM tree, with 7 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%  - http://wwatana.be/mobile/mobile/201802/3/, with 289 elements and 13 depth DOM tree, with 4 XBIs for iPhoneSE and 5 for iPhone 8 Plus
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}
@attribute crosscheck.base.a numeric
@attribute crosscheck.target.a numeric
@attribute crosscheck.SDR numeric
@attribute crosscheck.disp numeric
@attribute crosscheck.area numeric
@attribute crosscheck.LDTD numeric
@attribute baseLeft numeric
@attribute targetLeft numeric
@attribute baseRight numeric
@attribute targetRight numeric
@attribute baseParentLeft numeric
@attribute targetParentLeft numeric
@attribute baseParentRight numeric
@attribute targetParentRight numeric
@attribute diff.viewport numeric
@attribute size numeric
@attribute diff.left.relation numeric
@attribute diff.right.relation numeric
@attribute diff.parent.left.relation numeric
@attribute diff.parent.right.relation numeric
@attribute diff.left.viewport numeric
@attribute diff.right.viewport numeric
@attribute alignment numeric
@attribute diff.parent.left.viewport numeric
@attribute diff.parent.right.viewport numeric
@attribute parent.alignment numeric
@attribute diff.parent.y numeric
@attribute diff.parent.y.height numeric
@attribute diff.height.height numeric
@attribute diff.width.viewport numeric
@attribute imageDiff.size numeric
@attribute chiSquared.size numeric
@attribute imageDiff.size.viewport numeric
@attribute chiSquared.size.viewport numeric
@attribute pHashDistance.viewport numeric

@data
http://wwatana.be/mobile/mobile/201801/3/,34,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/34.png,results/iphone8plus/34.png,48,47,1231,1548,76,60,264,318,48,47,1111,1428,2248788,5551.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],/body[2]/section[6]/div[1]/div[1]/div[3]/p[2],0.6,1,20064,19080,0.051572,317.001577,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,5.981132,4.171053,0.210526,1.018868,112.080742,0.276695,2.114731,0.005221,0.011321
http://wwatana.be/mobile/mobile/201801/3/,33,I,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/33.png,results/iphone8plus/33.png,83,105,1118,1436,30,30,13,12,48,47,1111,1428,11631,69.8,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1]/i[1],0.6,0,390,360,0.083333,318.760098,360,1,83,105,265,297,48,47,300,355,53,390,-0.023706,0.016681,0.019437,-0.026463,0.415094,0.603774,-0.188679,0.018868,1.037736,-0.188679,5.981132,10.566667,0,0.018868,29.823077,0.178974,0.5627,0.003377,0.011321
http://wwatana.be/mobile/mobile/201801/3/,32,H3,1,55,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,null,null,48,47,1111,1428,90,90,264,318,48,47,1111,1428,0,0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[3]/h3[1],0,0,23760,28620,0.204545,317.001577,23760,1,48,47,49,49,48,47,49,49,53,28620,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,5.981132,3.522222,0,1.018868,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/3/,31,DIV,3,229,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,null,null,48,47,1111,1428,196,180,264,318,0,0,657,1006,0,0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[3],/body[2]/section[6]/div[1]/div[1]/div[3],/body[2]/section[6]/div[1]/div[1]/div[3],0,0,51744,57240,0.106215,317.001577,51744,1,48,47,49,49,0,0,97,96,53,57240,0.019437,0.017377,0,0.036814,0.018868,0,0.018868,0,0.018868,0.018868,6.584906,1.780612,0.081633,1.018868,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/3/,30,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/30.png,results/iphone8plus/30.png,48,47,1004,1337,76,60,264,318,48,47,884,1217,2218283,16119.6,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],/body[2]/section[6]/div[1]/div[1]/div[2]/p[2],0.6,1,20064,19080,0.051572,333.001501,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,6.283019,4.381579,0.210526,1.018868,110.560357,0.803409,2.086044,0.015159,0.011321
http://wwatana.be/mobile/mobile/201801/3/,29,I,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/29.png,results/iphone8plus/29.png,75,97,891,1225,30,30,34,34,48,47,884,1217,68351,209,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1]/i[1],1,0,1020,1020,0,334.723767,1020,1,75,97,252,283,48,47,279,333,53,1020,-0.026543,0.014486,0.019437,-0.031495,0.415094,0.584906,-0.169811,0.018868,1.018868,-0.169811,6.283019,11.1,0,0,67.010784,0.204902,1.264354,0.003866,0.018868
http://wwatana.be/mobile/mobile/201801/3/,28,H3,1,48,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,null,null,48,47,884,1217,90,90,264,318,48,47,884,1217,0,0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[2]/h3[1],0,0,23760,28620,0.204545,333.001501,23760,1,48,47,49,49,48,47,49,49,53,28620,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,6.283019,3.7,0,1.018868,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/3/,27,DIV,3,222,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,null,null,48,47,884,1217,196,180,264,318,0,0,657,1006,0,0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[2],/body[2]/section[6]/div[1]/div[1]/div[2],/body[2]/section[6]/div[1]/div[1]/div[2],0,0,51744,57240,0.106215,333.001501,51744,1,48,47,49,49,0,0,97,96,53,57240,0.019437,0.017377,0,0.036814,0.018868,0,0.018868,0,0.018868,0.018868,6.584906,1.780612,0.081633,1.018868,0,0,0,0,0
http://wwatana.be/mobile/mobile/201801/3/,26,P,0,114,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/26.png,results/iphone8plus/26.png,48,47,778,1126,76,60,264,318,48,47,657,1006,2199878,9640.5,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],/body[2]/section[6]/div[1]/div[1]/div[1]/p[2],0.5,1,20064,19080,0.051572,348.001437,19080,1,48,47,49,49,48,47,49,49,53,20064,0.019437,0.017377,0.019437,0.017377,0.018868,0,0.018868,0.018868,0,0.018868,6.584906,4.592105,0.210526,1.018868,109.643042,0.480487,2.068737,0.009066,0.009434
http://wwatana.be/mobile/mobile/201801/3/,25,I,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/25.png,results/iphone8plus/25.png,62,85,664,1014,30,30,32,32,48,47,657,1006,22513,120.8,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1]/i[1],0.6,0,960,960,0,350.7549,960,1,62,85,267,297,48,47,281,335,53,960,-0.033569,0.022221,0.019437,-0.030785,0.433962,0.566038,-0.132075,0.018868,1.018868,-0.132075,6.584906,11.633333,0,0,23.451042,0.125833,0.442472,0.002374,0.011321
