"url.platform" "R"
"1" "http://wwatana.be/mobile/ios/201701/01/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 1
"2" "http://wwatana.be/mobile/ios/201701/01/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 1
"3" "http://wwatana.be/mobile/mobile/201602/01/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 34
"4" "http://wwatana.be/mobile/mobile/201602/01/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 48
"5" "http://wwatana.be/mobile/mobile/201602/04/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 5
"6" "http://wwatana.be/mobile/mobile/201602/04/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 9
"7" "http://wwatana.be/mobile/mobile/201602/09/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 13
"8" "http://wwatana.be/mobile/mobile/201602/09/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 3
"9" "http://wwatana.be/mobile/mobile/201602/13/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 3
"10" "http://wwatana.be/mobile/mobile/201602/13/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 5
"11" "http://wwatana.be/mobile/mobile/201602/15/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 8
"12" "http://wwatana.be/mobile/mobile/201602/15/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 5
"13" "http://wwatana.be/mobile/mobile/201602/16/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 15
"14" "http://wwatana.be/mobile/mobile/201602/16/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 14
"15" "http://wwatana.be/mobile/mobile/201602/17/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 2
"16" "http://wwatana.be/mobile/mobile/201701/01/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 22
"17" "http://wwatana.be/mobile/mobile/201701/01/1.html iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 15
"18" "http://wwatana.be/mobile/mobile/201701/18/1.html iOS 11.0 - Safari -- iOS - iPhoneSE" 5
