NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","648","3731","45","71","0.935064935064935","0.90125173852573","0.917847025495751"
"Fold","56","371","7","16","0.888888888888889","0.777777777777778","0.82962962962963"
"Fold","60","369","8","11","0.882352941176471","0.845070422535211","0.863309352517986"
"Fold","61","371","6","11","0.91044776119403","0.847222222222222","0.877697841726619"
"Fold","57","373","5","15","0.919354838709677","0.791666666666667","0.850746268656716"
"Fold","61","373","4","11","0.938461538461538","0.847222222222222","0.89051094890511"
"Fold","60","371","6","12","0.909090909090909","0.833333333333333","0.869565217391304"
"Fold","57","372","6","15","0.904761904761905","0.791666666666667","0.844444444444444"
"Fold","51","369","9","21","0.85","0.708333333333333","0.772727272727273"
"Fold","54","375","3","18","0.947368421052632","0.75","0.837209302325581"
"Fold","51","371","7","21","0.879310344827586","0.708333333333333","0.784615384615385"
"CV Avg","56.8","371.5","6.1","15.1","0.903003754816364","0.790062597809077","0.842045566294005"
"Test","241","2851","74","164","0.765079365079365","0.595061728395062","0.669444444444444"
