;SVM-target;rf-target;c5-boosted20-target;c5-target;SVM-crosscheck;rf-crosscheck;c5-boosted20-crosscheck;c5-crosscheck;SVM-target
Fold 1;0.692307692307692;0.728155339805825;0.640350877192982;0.598484848484849;0;0.51219512195122;0.578947368421053;0.547619047619048;0.646017699115044
Fold 2;0.550724637681159;0.701754385964912;0.69811320754717;0.569620253164557;0.5;0.294117647058824;0.714285714285714;0.37037037037037;0.421052631578947
Fold 3;0.71830985915493;0.8;0.779411764705882;0.662921348314607;0.111111111111111;0.590909090909091;0.4875;0.573333333333333;0.612244897959184
Fold 4;0.74;0.843137254901961;0.865384615384615;0.862745098039216;0;0.464285714285714;0.464285714285714;0.465116279069767;0.707692307692308
Fold 5;0.986111111111111;0.858490566037736;0.855769230769231;0.788135593220339;0;0.469230769230769;0.475;0.743243243243243;0.741071428571429
Fold 6;0.85625;0.935593220338983;0.893536121673004;0.88563829787234;0;0.920731707317073;0.98159509202454;0.961538461538462;0.861256544502618
Fold 7;0.740740740740741;0.783018867924528;0.795918367346939;0.738095238095238;0;0.382022471910112;0.371794871794872;0.28448275862069;0.70873786407767
Fold 8;0.753086419753086;0.817073170731707;0.817073170731707;0.75531914893617;0.105263157894737;0.627906976744186;0.7;0.54;0.459459459459459
Fold 9;0.883720930232558;0.941176470588235;0.931034482758621;0.850746268656716;1;0.375;0.478260869565217;0.346153846153846;0.148514851485149
Fold 10;0.854545454545454;0.911392405063291;0.91025641025641;0.775280898876405;0;0.775;0.659574468085106;0.744186046511628;0.793103448275862
Mean;0.777579684552673;0.831979168135718;0.818684824836656;0.748698699366044;0.171637426900585;0.541139949940699;0.591124409846222;0.557604338646039;0.609915113271767
SD;0.121326357779394;0.0824443180211442;0.0934347277668258;0.108822961018004;0.329786454187787;0.192827524946482;0.17810054028564;0.209764852629495;0.212331957854417
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
